epoch,acc,loss,val_acc,val_loss
0,6.072628638516659e-05,-171.94832425974414,0.0,-233.96859412484613
1,6.072628638516659e-05,-174.7979524993186,0.0,-233.96859412484613
2,6.072628638516659e-05,-174.79795229669998,0.0,-233.96859412484613
3,6.072628638516659e-05,-174.797952401098,0.0,-233.96859412484613
4,6.072628638516659e-05,-174.7979526778454,0.0,-233.96859412484613
5,6.072628638516659e-05,-174.79795229546448,0.0,-233.96859412484613
6,6.072628638516659e-05,-174.79795263089716,0.0,-233.96859412484613
7,6.072628638516659e-05,-174.79795242333662,0.0,-233.96859412484613
8,6.072628638516659e-05,-174.7979526222488,0.0,-233.96859412484613
9,6.072628638516659e-05,-174.79795261483594,0.0,-233.96859412484613
10,6.072628638516659e-05,-174.79795259753922,0.0,-233.96859412484613
11,6.072628638516659e-05,-174.79795235723847,0.0,-233.96859412484613
12,6.072628638516659e-05,-174.7979525258814,0.0,-233.96859412484613
13,6.072628638516659e-05,-174.79795252341046,0.0,-233.96859412484613
14,6.072628638516659e-05,-174.79795245360586,0.0,-233.96859412484613
15,6.072628638516659e-05,-174.79795240542217,0.0,-233.96859412484613
16,6.072628638516659e-05,-174.7979525024073,0.0,-233.96859412484613
17,6.072628638516659e-05,-174.7979526234843,0.0,-233.96859412484613
18,6.072628638516659e-05,-174.79795250734924,0.0,-233.96859412484613
19,6.072628638516659e-05,-174.79795242518983,0.0,-233.96859412484613
20,6.072628638516659e-05,-174.79795241468827,0.0,-233.96859412484613
21,6.072628638516659e-05,-174.7979525178508,0.0,-233.96859412484613
22,6.072628638516659e-05,-174.79795248387512,0.0,-233.96859412484613
23,6.072628638516659e-05,-174.79795277359506,0.0,-233.96859412484613
24,6.072628638516659e-05,-174.7979524573123,0.0,-233.96859412484613
25,6.072628638516659e-05,-174.7979527031727,0.0,-233.96859412484613
26,6.072628638516659e-05,-174.79795247522677,0.0,-233.96859412484613
27,6.072628638516659e-05,-174.79795258703766,0.0,-233.96859412484613
28,6.072628638516659e-05,-174.7979525691232,0.0,-233.96859412484613
29,6.072628638516659e-05,-174.79795258889087,0.0,-233.96859412484613
30,6.072628638516659e-05,-174.7979525036428,0.0,-233.96859412484613
31,6.072628638516659e-05,-174.79795235847396,0.0,-233.96859412484613
32,6.072628638516659e-05,-174.79795270379046,0.0,-233.96859412484613
33,6.072628638516659e-05,-174.7979523949206,0.0,-233.96859412484613
34,6.072628638516659e-05,-174.79795249499443,0.0,-233.96859412484613
35,6.072628638516659e-05,-174.797952401098,0.0,-233.96859412484613
36,6.072628638516659e-05,-174.79795248016868,0.0,-233.96859412484613
37,6.072628638516659e-05,-174.79795259136182,0.0,-233.96859412484613
38,6.072628638516659e-05,-174.79795242518983,0.0,-233.96859412484613
39,6.072628638516659e-05,-174.79795270070176,0.0,-233.96859412484613
40,6.072628638516659e-05,-174.7979525227927,0.0,-233.96859412484613
41,6.072628638516659e-05,-174.79795261792464,0.0,-233.96859412484613
42,6.072628638516659e-05,-174.7979523312934,0.0,-233.96859412484613
43,6.072628638516659e-05,-174.79795264572292,0.0,-233.96859412484613
44,6.072628638516659e-05,-174.79795248511059,0.0,-233.96859412484613
45,6.072628638516659e-05,-174.79795265745997,0.0,-233.96859412484613
46,6.072628638516659e-05,-174.79795249684764,0.0,-233.96859412484613
47,6.072628638516659e-05,-174.79795256541675,0.0,-233.96859412484613
48,6.072628638516659e-05,-174.7979526562245,0.0,-233.96859412484613
49,6.072628638516659e-05,-174.79795237577065,0.0,-233.96859412484613
